,Train Split,Order,MSE,MAPE,Time(s),Mean
0,0.8,"(0, 0, 0)",673.382,0.486,8.149,-10.408
1,0.8,"(0, 0, 1)",214.838,0.26,129.151,-5.359
2,0.8,"(0, 0, 2)",108.937,0.177,203.909,-3.128
3,0.8,"(0, 1, 0)",11.046,0.031,8.024,0.069
4,0.8,"(0, 1, 1)",11.078,0.033,29.873,0.114
5,0.8,"(0, 1, 2)",11.171,0.033,45.638,0.121
6,0.8,"(0, 2, 0)",28.444,0.052,8.041,-0.005
7,0.8,"(0, 2, 1)",11.179,0.031,446.272,0.077
8,0.8,"(0, 2, 2)",11.164,0.033,977.369,0.123
9,0.8,"(1, 0, 0)",11.037,0.031,67.176,0.035
10,0.8,"(1, 1, 0)",11.2,0.033,28.965,0.106
11,0.8,"(1, 1, 1)",11.152,0.033,475.886,0.121
12,0.8,"(1, 2, 0)",19.819,0.045,31.264,0.014
13,0.8,"(2, 0, 0)",11.188,0.033,194.506,0.075
14,0.8,"(2, 1, 0)",11.188,0.033,43.022,0.118
15,0.8,"(2, 2, 0)",16.77,0.042,93.219,0.019
16,0.8,"(2, 2, 1)",11.271,0.033,1369.555,0.127
17,0.8,"(3, 0, 0)",11.177,0.033,295.799,0.089
18,0.8,"(3, 1, 0)",11.2,0.033,58.214,0.124
19,0.8,"(3, 1, 1)",11.286,0.034,931.179,0.137
20,0.8,"(3, 1, 2)",11.299,0.034,1386.637,0.122
21,0.8,"(3, 2, 0)",15.151,0.041,314.322,0.022
22,0.8,"(3, 2, 1)",11.292,0.033,2474.986,0.134
23,0.8,"(3, 2, 2)",11.324,0.034,3400.309,0.128
24,0.8,"(4, 0, 0)",11.189,0.033,395.455,0.095
25,0.8,"(4, 1, 0)",11.249,0.034,77.841,0.127
26,0.8,"(4, 1, 1)",11.293,0.034,1166.389,0.09
27,0.8,"(4, 1, 2)",11.3,0.034,1876.302,0.091
28,0.8,"(4, 2, 0)",14.285,0.04,514.003,0.022
29,0.8,"(4, 2, 1)",11.306,0.034,3339.296,0.134
30,0.8,"(4, 2, 2)",11.323,0.034,4225.794,0.136
31,0.5,"(0, 0, 0)",806.447,0.544,22.504,-20.519
32,0.5,"(0, 0, 1)",231.074,0.284,332.445,-10.577
33,0.5,"(0, 0, 2)",93.682,0.175,498.967,-6.096
34,0.5,"(0, 1, 0)",5.211,0.023,22.78,0.04
35,0.5,"(0, 1, 1)",5.219,0.024,79.698,0.059
36,0.5,"(0, 1, 2)",5.259,0.024,111.149,0.062
37,0.5,"(0, 2, 0)",13.095,0.036,23.955,0
38,0.5,"(0, 2, 1)",5.267,0.023,1068.157,0.067
39,0.5,"(0, 2, 2)",5.26,0.024,2316.139,0.09
40,0.5,"(1, 0, 0)",5.209,0.023,177.312,-0.025
41,0.5,"(1, 1, 0)",5.268,0.024,82.649,0.055
42,0.5,"(1, 2, 0)",9.114,0.031,88.51,0.007
43,0.5,"(2, 0, 0)",5.265,0.024,542.238,-0.005
44,0.5,"(2, 1, 0)",5.266,0.024,116.765,0.061
45,0.5,"(2, 2, 0)",7.789,0.029,187.285,0.009
46,0.5,"(2, 2, 1)",5.308,0.024,3750.614,0.097
47,0.5,"(3, 0, 0)",5.262,0.024,838.678,0.002
48,0.5,"(3, 1, 0)",5.272,0.024,159.086,0.063
49,0.5,"(3, 2, 0)",7.044,0.028,782.18,0.01
50,0.6,"(0, 0, 0)",611.993,0.451,14.023,-15.864
51,0.6,"(0, 0, 1)",181.888,0.237,243.666,-8.157
52,0.6,"(0, 0, 2)",80.025,0.15,376.322,-4.681
53,0.6,"(0, 1, 0)",6.058,0.023,15.695,0.047
54,0.6,"(0, 1, 1)",6.072,0.023,59.189,0.07
55,0.6,"(0, 1, 2)",6.12,0.024,84.159,0.074
56,0.6,"(0, 2, 0)",15.357,0.037,15.988,-0.002
57,0.6,"(0, 2, 1)",6.126,0.023,801.846,0.064
58,0.6,"(0, 2, 2)",6.117,0.024,1774.865,0.089
59,0.6,"(1, 0, 0)",6.052,0.023,129.654,0
60,0.6,"(1, 1, 0)",6.133,0.023,59.157,0.066
61,0.6,"(1, 1, 1)",6.11,0.024,1142.548,0.074
62,0.6,"(1, 2, 0)",10.688,0.032,64.162,0.007
63,0.6,"(2, 0, 0)",6.126,0.023,403.522,0.023
64,0.6,"(2, 1, 0)",6.129,0.024,85.455,0.073
65,0.6,"(2, 2, 0)",9.092,0.03,146.127,0.011
66,0.6,"(2, 2, 1)",6.173,0.024,3247.553,0.091
67,0.6,"(3, 0, 0)",6.122,0.023,632.908,0.03
68,0.6,"(3, 1, 0)",6.135,0.024,120.828,0.076
69,0.6,"(3, 1, 2)",6.189,0.024,2835.966,0.075
70,0.6,"(3, 2, 0)",8.227,0.029,587.831,0.012
71,0.6,"(3, 2, 1)",6.183,0.024,4675.741,0.094
