Date,Close Prices,"ARIMA_50.0_(0, 1, 0)_Predictions","ARIMA_60.0_(0, 1, 1)_Predictions",LSTM_80.0_Predictions
1/1/2015,48.24,53.03,,
2/1/2015,49.76,47.95,,
3/1/2015,47.6,49.49,,
4/1/2015,59.63,47.31,,
5/1/2015,60.3,59.47,,
6/1/2015,59.47,60.15,,
7/1/2015,47.12,59.32,,
8/1/2015,49.2,46.84,,
9/1/2015,45.09,48.94,,
10/1/2015,46.59,44.79,,
11/1/2015,41.65,46.31,,
12/1/2015,37.04,41.32,,
1/1/2016,33.62,36.67,,
2/1/2016,33.75,33.22,,
3/1/2016,38.34,33.35,,
4/1/2016,45.92,37.99,,
5/1/2016,49.1,45.65,,
6/1/2016,48.33,48.86,,
7/1/2016,41.6,48.09,47.87,
8/1/2016,44.7,41.3,39.83,
9/1/2016,48.24,44.43,45.57,
10/1/2016,46.86,48,48.64,
11/1/2016,49.44,46.61,46.21,
12/1/2016,53.72,49.22,49.98,
1/1/2017,52.81,53.54,54.43,
2/1/2017,54.01,52.62,52.25,
3/1/2017,50.6,53.83,54.26,
4/1/2017,49.33,50.4,49.55,
5/1/2017,48.32,49.12,49.07,
6/1/2017,46.04,48.1,47.93,
7/1/2017,50.17,45.8,45.37,
8/1/2017,47.23,49.97,51.1,
9/1/2017,51.67,47.01,46.12,
10/1/2017,54.38,51.49,52.75,
11/1/2017,57.4,54.22,54.6,
12/1/2017,60.42,57.26,57.91,
1/1/2018,64.73,60.31,60.89,
2/1/2018,61.64,64.66,65.55,
3/1/2018,64.94,61.54,60.65,
4/1/2018,68.57,64.87,65.85,
5/1/2018,67.04,68.53,69.16,
6/1/2018,74.15,66.99,66.51,
7/1/2018,68.76,74.15,75.89,
8/1/2018,69.8,68.72,67.17,
9/1/2018,73.25,69.77,70.34,
10/1/2018,65.31,73.24,73.89,
11/1/2018,50.93,65.24,63.39,
12/1/2018,45.41,50.76,47.94,
1/1/2019,53.79,45.2,44.63,
2/1/2019,57.22,53.64,55.77,
3/1/2019,60.14,57.1,57.44,
4/1/2019,63.91,60.04,60.68,
5/1/2019,53.5,63.84,64.6,
6/1/2019,58.47,53.35,50.8,
7/1/2019,58.58,58.36,60.04,
8/1/2019,55.1,58.47,58.16,
9/1/2019,54.07,54.97,54.3,
10/1/2019,54.18,53.93,53.89,
11/1/2019,55.17,54.04,54.12,
12/1/2019,61.06,55.04,55.28,
1/1/2020,51.56,60.97,62.26,
2/1/2020,44.76,51.41,49.11,
3/1/2020,20.48,44.56,43.62,
4/1/2020,18.84,20.13,14.93,
5/1/2020,35.49,18.48,19.29,
6/1/2020,39.27,35.24,38.95,
7/1/2020,40.27,39.04,39.12,
8/1/2020,42.61,40.05,40.32,
9/1/2020,40.22,42.41,42.94,
10/1/2020,35.79,40,39.38,
11/1/2020,45.34,35.55,34.72,
12/1/2020,48.52,45.16,47.59,
1/1/2021,52.2,48.36,48.58,
2/1/2021,61.5,52.06,52.9,
3/1/2021,59.16,61.42,63.42,
4/1/2021,63.58,59.07,58.1,57.2
5/1/2021,66.32,63.52,64.76,63.29
6/1/2021,73.47,66.27,66.63,65.66
7/1/2021,73.95,73.47,75.02,74.36
8/1/2021,68.5,73.95,73.71,74
9/1/2021,75.03,68.47,67.29,67.08
10/1/2021,83.57,75.04,76.77,76.1
11/1/2021,66.18,83.63,85.18,85.5
12/1/2021,75.21,66.13,61.95,62.02
1/1/2022,88.15,75.22,77.73,76.84
2/1/2022,95.72,88.23,90.39,90.5
3/1/2022,100.28,95.84,97,95.47
4/1/2022,104.69,100.43,101.15,98.51
5/1/2022,114.67,104.86,105.64,101.67
6/1/2022,106.22,114.9,116.89,109.28
