Date,Close Prices,"ARIMA_50.0_(0, 1, 0)_Predictions",LSTM_65.0_Predictions
1/1/2015,52.99,57.13,
4/1/2015,66.78,52.73,
5/1/2015,65.56,66.7,
6/1/2015,63.59,65.47,
7/1/2015,52.21,63.48,
8/1/2015,54.15,51.96,
9/1/2015,48.37,53.92,
10/1/2015,49.56,48.08,
12/1/2015,37.28,49.28,
1/1/2016,34.74,36.86,
2/1/2016,35.97,34.3,
3/1/2016,39.6,35.55,
4/1/2016,48.13,39.22,
6/1/2016,49.68,47.85,
7/1/2016,42.46,49.42,
8/1/2016,47.04,42.13,
9/1/2016,49.06,46.76,
10/1/2016,48.3,48.81,
11/1/2016,50.47,48.04,
12/1/2016,56.13,50.24,
2/1/2017,55.59,55.96,
3/1/2017,52.83,55.41,
4/1/2017,51.73,52.63,
5/1/2017,50.31,51.52,
6/1/2017,47.92,50.09,
7/1/2017,52.65,47.67,47.85
8/1/2017,52.38,52.45,54.87
9/1/2017,57.54,52.18,51.55
11/1/2017,63.57,57.39,59.2
12/1/2017,66.6,63.48,64.56
1/1/2018,69.05,66.54,66.04
2/1/2018,65.78,69.02,68.66
3/1/2018,70.27,65.72,63.03
5/1/2018,77.59,70.25,71.4
6/1/2018,79.44,77.63,80.55
8/1/2018,77.42,79.5,81.13
9/1/2018,82.72,77.46,77.63
10/1/2018,75.47,82.81,86.54
11/1/2018,58.71,75.49,74.09
12/1/2018,52.28,58.59,52.98
1/1/2019,61.89,52.1,50.87
2/1/2019,66.03,61.8,66.57
3/1/2019,68.39,65.97,65.52
4/1/2019,72.8,68.35,67.82
5/1/2019,64.49,72.8,73.76
6/1/2019,66.55,64.42,60.27
7/1/2019,65.17,66.5,66.72
8/1/2019,60.43,65.11,63.07
10/1/2019,60.23,60.33,57.39
11/1/2019,62.43,60.13,59.43
1/1/2020,58.16,62.35,62.18
2/1/2020,50.52,58.05,55.23
4/1/2020,25.27,50.35,48.26
5/1/2020,35.33,24.9,26.35
6/1/2020,41.15,35.04,45.4
7/1/2020,43.3,40.91,43.09
8/1/2020,45.1,43.08,44.58
9/1/2020,40.95,44.89,46.56
10/1/2020,37.46,40.71,41.35
12/1/2020,51.34,37.2,39.27
1/1/2021,55.88,51.18,58.7
2/1/2021,66.13,55.76,54.87
3/1/2021,63.54,66.08,69.59
4/1/2021,67.25,63.47,60.37
5/1/2021,69.63,67.21,67.84
6/1/2021,75.13,69.61,69.22
7/1/2021,76.33,75.15,76.95
9/1/2021,78.52,76.36,76.88
10/1/2021,84.38,78.56,80.1
11/1/2021,70.57,84.46,88.8
12/1/2021,79.2,70.56,66.89
1/1/2022,91.21,79.24,83.87
2/1/2022,100.99,91.34,98.61
3/1/2022,107.91,101.18,107.52
4/1/2022,109.34,108.14,111.48
6/1/2022,110.05,109.58,112.01
,,,
